time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-01 21:00:00,72.5,55.7,Backyard,70.0,41.0,Outside
2021-09-01 21:00:00,64.76,62.4,Lower Southeast,70.0,41.0,Outside
2021-09-01 21:00:00,64.4,63.1,Lower Southwest,70.0,41.0,Outside
2021-09-01 21:00:00,69.44,54.9,Upper East (Garage),70.0,41.0,Outside
2021-09-01 21:00:00,69.08,51.69,Upper West (Bedroom),70.0,41.0,Outside
2021-09-01 21:00:00,70.0,41.0,Outside,70.0,41.0,Outside
2021-09-01 22:00:00,63.5,57.8,Lower Northeast,68.0,43.0,Outside
2021-09-01 22:00:00,72.32,55.4,Backyard,68.0,43.0,Outside
2021-09-01 22:00:00,64.94,62.1,Lower Southeast,68.0,43.0,Outside
2021-09-01 22:00:00,64.4,62.6,Lower Southwest,68.0,43.0,Outside
2021-09-01 22:00:00,69.44,56.7,Upper East (Garage),68.0,43.0,Outside
2021-09-01 22:00:00,68.9,51.69,Upper West (Bedroom),68.0,43.0,Outside
2021-09-01 22:00:00,68.0,43.0,Outside,68.0,43.0,Outside
2021-09-01 23:00:00,63.32,57.9,Lower Northeast,66.0,52.0,Outside
2021-09-01 23:00:00,72.32,55.1,Backyard,66.0,52.0,Outside
2021-09-01 23:00:00,64.76,59.0,Lower Southeast,66.0,52.0,Outside
2021-09-01 23:00:00,64.4,62.2,Lower Southwest,66.0,52.0,Outside
2021-09-01 23:00:00,69.44,56.1,Upper East (Garage),66.0,52.0,Outside
2021-09-01 23:00:00,68.9,51.89,Upper West (Bedroom),66.0,52.0,Outside
2021-09-01 23:00:00,66.0,52.0,Outside,66.0,52.0,Outside
2021-09-02 00:00:00,63.14,59.1,Lower Northeast,63.0,56.0,Outside
2021-09-02 00:00:00,72.14,54.9,Backyard,63.0,56.0,Outside
2021-09-02 00:00:00,64.4,58.5,Lower Southeast,63.0,56.0,Outside
2021-09-02 00:00:00,64.22,62.7,Lower Southwest,63.0,56.0,Outside
2021-09-02 00:00:00,69.26,56.8,Upper East (Garage),63.0,56.0,Outside
2021-09-02 00:00:00,68.72,52.99,Upper West (Bedroom),63.0,56.0,Outside
2021-09-02 00:00:00,63.0,56.0,Outside,63.0,56.0,Outside
2021-09-02 01:00:00,63.14,59.3,Lower Northeast,62.0,56.0,Outside
2021-09-02 01:00:00,72.14,54.8,Backyard,62.0,56.0,Outside
2021-09-02 01:00:00,64.4,58.4,Lower Southeast,62.0,56.0,Outside
2021-09-02 01:00:00,64.22,63.2,Lower Southwest,62.0,56.0,Outside
2021-09-02 01:00:00,69.26,56.7,Upper East (Garage),62.0,56.0,Outside
2021-09-02 01:00:00,68.54,53.29,Upper West (Bedroom),62.0,56.0,Outside
2021-09-02 01:00:00,62.0,56.0,Outside,62.0,56.0,Outside
2021-09-02 02:00:00,62.96,58.8,Lower Northeast,62.0,56.0,Outside
